page_size,workers,iters,p50_ms,p90_ms,p99_ms,max_ms,ops_per_sec,errors
1,1,100,2.416,3.368,4.309,4.309,383.9,0
1,2,200,2.452,3.185,3.905,4.501,764.1,0
1,4,400,2.530,3.245,4.141,4.244,1480.6,0
1,8,800,2.764,3.417,4.309,4.698,2708.8,0
1,12,1200,3.017,3.774,4.494,5.330,3712.2,0
1,16,1600,3.353,4.123,4.884,5.463,4386.9,0
1,24,2400,4.261,5.274,6.364,7.116,5212.2,0
1,32,3200,5.459,6.779,8.078,9.360,5444.2,0
1,48,4800,7.900,9.616,11.325,15.383,5759.4,0
1,64,6400,14.010,17.635,21.059,24.459,4400.7,0
10,1,100,15.348,19.206,22.629,22.629,64.0,0
10,2,200,15.363,19.083,23.229,24.278,126.8,0
10,4,400,15.054,18.768,21.734,22.169,260.3,0
10,8,800,15.420,18.689,22.897,24.276,495.9,0
10,12,1200,15.637,19.155,22.984,28.952,740.1,0
10,16,1600,16.173,19.656,23.744,30.558,951.4,0
10,24,2400,17.785,21.792,26.436,34.161,1255.9,0
10,32,3200,24.477,34.942,41.540,50.940,1201.0,0
10,48,4800,46.292,56.312,65.648,74.149,1015.1,0
10,64,6400,61.612,74.558,89.734,107.583,1021.4,0
20,1,100,31.514,37.811,43.118,43.118,31.7,0
20,2,200,30.741,36.727,41.981,42.293,64.5,0
20,4,400,29.694,35.798,39.873,42.052,132.2,0
20,8,800,29.361,35.398,40.282,46.723,264.8,0
20,12,1200,29.993,35.936,41.033,48.522,389.3,0
20,16,1600,30.605,36.464,42.536,52.292,505.9,0
20,24,2400,33.310,40.341,48.499,65.664,683.0,0
20,32,3200,52.274,65.759,76.683,87.356,597.4,0
20,48,4800,81.485,100.326,115.402,128.552,573.1,0
20,64,6400,108.620,134.159,156.703,178.638,573.7,0
