page_size,workers,iters,p50_ms,p90_ms,p99_ms,max_ms,ops_per_sec,errors
1,1,100,2.397,3.234,4.931,4.931,363.9,0
1,2,200,2.404,3.022,3.891,4.216,772.7,0
1,4,400,2.545,3.332,4.216,4.412,1451.9,0
1,8,800,2.753,3.416,4.351,5.547,2668.2,0
1,12,1200,3.039,3.766,4.532,5.434,3622.5,0
1,16,1600,3.331,4.138,4.918,5.813,4397.6,0
1,24,2400,4.273,5.256,6.357,7.912,5143.4,0
1,32,3200,5.515,6.786,8.188,11.371,5414.2,0
1,48,4800,8.036,9.769,11.700,17.795,5721.1,0
1,64,6400,12.979,17.437,20.599,27.655,4580.3,0
10,1,100,15.256,19.256,22.591,22.591,65.3,0
10,2,200,15.395,18.897,22.256,22.456,128.0,0
10,4,400,15.189,18.820,21.745,23.882,256.3,0
10,8,800,15.411,18.686,21.683,24.015,502.2,0
10,12,1200,15.658,19.100,22.506,28.567,738.4,0
10,16,1600,16.156,19.850,23.839,29.721,948.6,0
10,24,2400,17.847,22.057,27.232,39.502,1261.9,0
10,32,3200,24.475,34.847,41.488,49.601,1198.8,0
10,48,4800,46.291,55.877,65.390,80.549,1018.4,0
10,64,6400,61.544,75.122,88.511,109.478,1024.8,0
20,1,100,29.176,35.673,40.492,40.492,33.8,0
20,2,200,29.393,34.913,40.588,41.647,67.3,0
20,4,400,29.497,35.594,41.338,43.242,133.9,0
20,8,800,29.144,35.182,39.447,43.052,266.1,0
20,12,1200,29.755,35.313,40.808,46.348,394.3,0
20,16,1600,30.725,36.504,44.287,59.344,502.1,0
20,24,2400,33.220,39.837,47.426,64.769,687.0,0
20,32,3200,52.423,65.874,76.058,85.153,594.9,0
20,48,4800,81.579,100.643,115.683,132.103,573.4,0
20,64,6400,108.586,134.266,155.982,186.129,575.0,0
