page_size,workers,iters,p50_ms,p90_ms,p99_ms,max_ms,ops_per_sec,errors
1,1,100,2.389,3.422,4.229,4.229,364.5,0
1,8,800,2.768,3.673,4.796,6.707,2612.7,0
1,16,1600,3.395,4.275,5.333,6.084,4330.2,0
1,24,2400,4.245,5.261,6.432,7.913,5191.6,0
1,32,3200,5.378,6.705,8.264,9.498,5520.6,0
1,48,4800,7.954,9.614,11.871,28.120,5734.7,0
1,64,6400,12.883,17.369,20.686,26.053,4615.6,0
10,1,100,15.357,19.587,21.672,21.672,64.2,0
10,8,800,15.258,18.913,21.402,27.900,500.7,0
10,16,1600,16.117,19.483,23.500,31.875,952.9,0
10,24,2400,17.777,21.764,27.408,40.287,1274.7,0
10,32,3200,24.744,35.004,41.946,48.346,1187.0,0
10,48,4800,46.225,56.179,65.083,78.217,1017.8,0
10,64,6400,61.431,74.512,86.852,97.966,1024.3,0
20,1,100,28.876,34.784,39.543,39.543,34.3,0
20,8,800,29.035,35.019,39.517,44.167,268.9,0
20,16,1600,30.616,36.918,43.293,53.828,502.2,0
20,24,2400,34.681,41.807,50.327,63.148,654.2,0
20,32,3200,50.489,64.858,75.442,85.623,611.3,0
20,48,4800,81.733,100.378,116.272,133.283,570.1,0
20,64,6400,108.408,134.104,156.181,177.206,575.6,0
